SAMPLE,Be_ppm,Cs_ppm,Li_ppm,Nb_ppm,P_ppm,Rb_ppm,Sn_ppm,Ta_ppm,Th_ppm,U_ppm,Y_ppm
DETECTION,0.005,0.01,0.02,0.002,2,0.005,0.02,0.005,0.001,0.001,0.001
IJSS0001,1.077,2.99,10.72,0.717,189,24.894,1.64,0.01,10.689,0.664,7.838
IJSS0002,1.116,3.45,11.21,0.837,358,29.548,1.9,0.01,10.472,1.336,13.412
IJSS0003,1.181,4.97,14.64,0.75,225,32.318,2.51,0.008,10.364,1.342,11.658
IJSS0004,1.342,6.54,20.85,0.716,294,37.002,2.44,0.012,10.202,1.402,7.122
IJSS0005,2.375,2.99,18.53,0.547,349,21.124,2.43,0.006,9.984,3.007,6.672
IJSS0006,2.016,5.5,16.8,0.594,272,27.375,2.78,0.008,7.824,1.487,11.659
IJSS0007,1.38,3.41,49.72,1.819,299,88.341,2.81,0.01,7.202,1.301,7.546
IJSS0008,2.658,3.19,15.47,0.873,415,34.562,3.21,0.007,5.115,1.307,14.16
IJSS0009,1.715,7.64,28.41,0.825,273,48.208,2.07,0.005,7.128,1.474,5.659
IJSS0010,1.503,1.52,12.82,0.594,322,42.714,2.03,0.006,4.956,0.623,9.094
IJSS0011,1.345,1.41,12.65,1.184,127,57.963,0.86,,5.637,0.505,8.536
IJSS0012,0.522,0.83,7.76,1.026,103,38.29,1.55,0.006,9.487,0.65,10.067
IJSS0013,1.302,1.55,11.87,0.709,178,31.312,1.78,,5.39,0.698,11.262
IJSS0014,2.95,16.36,31.42,0.884,200,43.874,2.64,0.006,6.077,1.364,9.569
IJSS0015,0.902,2.13,11.44,1.211,1226,41.218,1.26,0.006,5.647,0.638,10.167
IJSS0016,2.244,6.02,31.5,1.24,326,67.097,2.07,0.009,7.159,1.06,13.589
IJSS0017,1.205,2.82,10.89,0.864,317,23.812,1.52,0.013,6.249,1.02,13.961
IJSS0018,1.925,6.67,23.37,0.699,376,42.912,2.12,0.008,9.103,1.336,8.492
IJSS0019,1.791,5.29,19.86,0.682,235,28.48,1.87,0.015,7.034,1.493,5.107
IJSS0020,2.86,6.69,29.71,1.015,354,32.218,2.11,0.01,8.099,1.73,9.389
IJSS0021,4.159,8.64,42.23,0.521,359,31.002,3.04,0.012,8.85,3.189,10.659
IJSS0022,3.238,9.26,39.63,0.711,355,36.367,2.68,0.008,5.305,2.341,10.252
IJSS0023,2.34,12.2,45.08,1.154,203,60.543,1.66,0.007,5.739,1.241,9.185
IJSS0024,1.849,5.44,103.77,1.175,426,108.051,3.39,0.008,5.885,1.03,11.786
IJSS0025,1.93,5.54,104.25,1.229,443,109.049,3.47,0.007,6.303,1.068,12.06
IJSS0026,1.06,1.68,19.51,0.741,196,44.507,1.67,,4.042,0.391,6.352
IJSS0027,1.095,1.32,12.07,0.985,182,85.593,1.7,0.005,5.185,0.602,6.374
IJSS0028,1.255,0.53,15.04,0.442,287,40.676,2.61,,2.872,0.503,7.864
IJSS0029,2.305,2.49,13.41,0.54,239,19.402,1.58,,3.964,1.218,12.234
IJSS0030,2.068,12.33,21.8,1.091,127,48.732,1.53,0.025,5.686,1.507,8.427
IJSS0031,1.579,1.87,14.16,1.159,144,48.112,0.86,0.007,3.53,3.151,9.83
IJSS0032,2.067,7.72,16.68,1.693,311,129.822,4.88,0.009,9.119,0.864,9.239
IJSS0033,2.854,2,15.06,1.085,199,41.554,1.3,0.006,7.752,3.638,13.899
IJSS0034,1.422,1.9,14.25,0.95,145,59.534,1.75,,6.472,0.532,15.686
IJSS0035,2.635,9.09,34.5,0.747,112,68.985,2.17,0.007,7.539,1.116,8.293
IJSS0036,2.847,8.82,42.06,1.521,406,75.246,2.09,0.008,4.599,0.936,12.103
IJSS0037,3.296,14.64,41.38,0.97,159,64.884,2.41,0.016,6.379,1.317,6.441
IJSS0038,5.471,13.74,64.67,0.615,364,48.792,5.04,0.012,6.862,2.905,15.513
IJSS0039,2.879,33.14,966,1.409,3651,80.829,2.52,0.046,3.452,3.985,4.235
